country,link
Aruba,https://en.wikipedia.org/w/index.php?title=Aruba
Islamic Republic of Afghanistan,https://en.wikipedia.org/wiki/Islamic_Republic_of_Afghanistan
Republic of Angola,https://en.wikipedia.org/wiki/Republic_of_Angola
Anguilla,https://en.wikipedia.org/w/index.php?title=Anguilla
Åland Islands,https://en.wikipedia.org/wiki/%C3%85land_Islands
Republic of Albania,https://en.wikipedia.org/wiki/Republic_of_Albania
Principality of Andorra,https://en.wikipedia.org/wiki/Principality_of_Andorra
United Arab Emirates,https://en.wikipedia.org/wiki/United_Arab_Emirates
Argentine Republic,https://en.wikipedia.org/wiki/Argentine_Republic
Republic of Armenia,https://en.wikipedia.org/wiki/Republic_of_Armenia
American Samoa,https://en.wikipedia.org/wiki/American_Samoa
Antarctica,https://en.wikipedia.org/w/index.php?title=Antarctica
Territory of the French Southern and Antarctic Lands,https://en.wikipedia.org/wiki/Territory_of_the_French_Southern_and_Antarctic_Lands
Antigua and Barbuda,https://en.wikipedia.org/wiki/Antigua_and_Barbuda
Commonwealth of Australia,https://en.wikipedia.org/wiki/Commonwealth_of_Australia
Republic of Austria,https://en.wikipedia.org/wiki/Republic_of_Austria
Republic of Azerbaijan,https://en.wikipedia.org/wiki/Republic_of_Azerbaijan
Republic of Burundi,https://en.wikipedia.org/wiki/Republic_of_Burundi
Kingdom of Belgium,https://en.wikipedia.org/wiki/Kingdom_of_Belgium
Republic of Benin,https://en.wikipedia.org/wiki/Republic_of_Benin
Burkina Faso,https://en.wikipedia.org/wiki/Burkina_Faso
People's Republic of Bangladesh,https://en.wikipedia.org/wiki/People%27s_Republic_of_Bangladesh
Republic of Bulgaria,https://en.wikipedia.org/wiki/Republic_of_Bulgaria
Kingdom of Bahrain,https://en.wikipedia.org/wiki/Kingdom_of_Bahrain
Commonwealth of the Bahamas,https://en.wikipedia.org/wiki/Commonwealth_of_the_Bahamas
Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Bosnia_and_Herzegovina
Collectivity of Saint Barthélemy,https://en.wikipedia.org/wiki/Collectivity_of_Saint_Barth%C3%A9lemy
"Saint Helena, Ascension and Tristan da Cunha","https://en.wikipedia.org/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha"
Republic of Belarus,https://en.wikipedia.org/wiki/Republic_of_Belarus
Belize,https://en.wikipedia.org/w/index.php?title=Belize
Bermuda,https://en.wikipedia.org/w/index.php?title=Bermuda
Plurinational State of Bolivia,https://en.wikipedia.org/wiki/Plurinational_State_of_Bolivia
"Bonaire, Sint Eustatius and Saba","https://en.wikipedia.org/wiki/Bonaire,_Sint_Eustatius_and_Saba"
Federative Republic of Brazil,https://en.wikipedia.org/wiki/Federative_Republic_of_Brazil
Barbados,https://en.wikipedia.org/w/index.php?title=Barbados
"Nation of Brunei, Abode of Peace","https://en.wikipedia.org/wiki/Nation_of_Brunei,_Abode_of_Peace"
Kingdom of Bhutan,https://en.wikipedia.org/wiki/Kingdom_of_Bhutan
Bouvet Island,https://en.wikipedia.org/wiki/Bouvet_Island
Republic of Botswana,https://en.wikipedia.org/wiki/Republic_of_Botswana
Central African Republic,https://en.wikipedia.org/wiki/Central_African_Republic
Canada,https://en.wikipedia.org/w/index.php?title=Canada
Territory of the Cocos (Keeling) Islands,https://en.wikipedia.org/wiki/Territory_of_the_Cocos_(Keeling)_Islands
Swiss Confederation,https://en.wikipedia.org/wiki/Swiss_Confederation
Republic of Chile,https://en.wikipedia.org/wiki/Republic_of_Chile
People's Republic of China,https://en.wikipedia.org/wiki/People%27s_Republic_of_China
Republic of Côte d'Ivoire,https://en.wikipedia.org/wiki/Republic_of_C%C3%B4te_d%27Ivoire
Republic of Cameroon,https://en.wikipedia.org/wiki/Republic_of_Cameroon
Democratic Republic of the Congo,https://en.wikipedia.org/wiki/Democratic_Republic_of_the_Congo
Republic of the Congo,https://en.wikipedia.org/wiki/Republic_of_the_Congo
Cook Islands,https://en.wikipedia.org/wiki/Cook_Islands
